action,type,guard,break_glass,registry_line,domain,current_owner,direct_branch_line,target_owner
a:brand_app_accepted_done,edit,none,False,184,applications,src/bot/bot.js,25346,src/bot/domains/applications/callbacks.js
a:brand_app_card,edit,none,False,185,applications,src/bot/bot.js,27945,src/bot/domains/applications/callbacks.js
a:brand_app_chat,edit,none,False,186,applications,src/bot/bot.js,27923,src/bot/domains/applications/callbacks.js
a:brand_app_del_do,edit,require_redis,False,187,applications,src/bot/bot.js,27738,src/bot/domains/applications/callbacks.js
a:brand_app_del_q,edit,none,False,188,applications,src/bot/bot.js,27726,src/bot/domains/applications/callbacks.js
a:brand_app_reply,edit,require_redis,False,189,applications,src/bot/bot.js,27815,src/bot/domains/applications/callbacks.js
a:brand_app_set,edit,require_redis,False,190,applications,src/bot/bot.js,27751,src/bot/domains/applications/callbacks.js
a:brand_app_tpl,edit,require_redis,False,191,applications,src/bot/bot.js,27862,src/bot/domains/applications/callbacks.js
a:brand_app_tpl_send,edit,require_redis,False,192,applications,src/bot/bot.js,27884,src/bot/domains/applications/callbacks.js
a:brand_app_tpls,edit,require_redis,False,193,applications,src/bot/bot.js,27842,src/bot/domains/applications/callbacks.js
a:brand_app_view,edit,none,False,194,applications,src/bot/bot.js,27717,src/bot/domains/applications/callbacks.js
a:brand_apply,edit,require_redis,False,195,applications,src/bot/bot.js,25926,src/bot/domains/applications/callbacks.js
a:brand_apply_clear,edit,require_redis,False,196,applications,src/bot/bot.js,25978,src/bot/domains/applications/callbacks.js
a:brand_apply_done,edit,none,False,197,applications,src/bot/bot.js,25337,src/bot/domains/applications/callbacks.js
a:brand_apply_preview,edit,require_redis,False,198,applications,src/bot/bot.js,25970,src/bot/domains/applications/callbacks.js
a:brand_apply_send,edit,require_redis,False,199,applications,src/bot/bot.js,25987,src/bot/domains/applications/callbacks.js
a:brand_apply_write,edit,require_redis,False,200,applications,src/bot/bot.js,25950,src/bot/domains/applications/callbacks.js
a:brand_apply_cancel,edit,require_redis,False,201,applications,src/bot/bot.js,25958,src/bot/domains/applications/callbacks.js
a:brand_apps,edit,none,False,202,applications,src/bot/bot.js,27542,src/bot/domains/applications/callbacks.js
a:brand_bb_clear,edit,require_redis,False,203,brand_profile,src/bot/bot.js,30083,src/bot/domains/brands/profileCallbacks.js
a:brand_bb_done,edit,none,False,204,brand_profile,src/bot/bot.js,30096,src/bot/domains/brands/profileCallbacks.js
a:brand_bb_pick,edit,require_redis,False,205,brand_profile,src/bot/bot.js,30053,src/bot/domains/brands/profileCallbacks.js
a:brand_bb_set,edit,require_redis,False,206,brand_profile,src/bot/bot.js,30065,src/bot/domains/brands/profileCallbacks.js
a:brand_buy,pay,require_redis,False,207,brand_profile,src/bot/bot.js,29495,src/bot/domains/brands/profileCallbacks.js
a:brand_continue,edit,require_redis,False,208,brand_profile,src/bot/bot.js,29880,src/bot/domains/brands/profileCallbacks.js
a:brand_deal_reply,edit,require_redis,False,209,applications,src/bot/bot.js,27668,src/bot/domains/applications/callbacks.js
a:brand_deal_set,edit,require_redis,False,210,applications,src/bot/bot.js,27640,src/bot/domains/applications/callbacks.js
a:brand_deal_tpl,edit,require_redis,False,211,applications,src/bot/bot.js,27706,src/bot/domains/applications/callbacks.js
a:brand_deal_tpls,edit,require_redis,False,212,applications,src/bot/bot.js,27697,src/bot/domains/applications/callbacks.js
a:brand_deal_view,edit,none,False,213,applications,src/bot/bot.js,27632,src/bot/domains/applications/callbacks.js
a:brand_deals,edit,require_redis,False,214,applications,src/bot/bot.js,27554,src/bot/domains/applications/callbacks.js
a:brand_deals_filters_clear,edit,require_redis,False,215,applications,src/bot/bot.js,27592,src/bot/domains/applications/callbacks.js
a:brand_deals_mine_toggle,edit,require_redis,False,216,applications,src/bot/bot.js,27608,src/bot/domains/applications/callbacks.js
a:brand_deals_search,edit,require_redis,False,217,applications,src/bot/bot.js,27566,src/bot/domains/applications/callbacks.js
a:brand_deals_search_clear,edit,require_redis,False,218,applications,src/bot/bot.js,27581,src/bot/domains/applications/callbacks.js
a:brand_dir_open,edit,none,False,219,brand_directory,src/bot/bot.js,25915,src/bot/domains/brands/directoryCallbacks.js
a:brand_gt_clear,edit,require_redis,False,220,brand_profile,src/bot/bot.js,30142,src/bot/domains/brands/profileCallbacks.js
a:brand_gt_done,edit,none,False,221,brand_profile,src/bot/bot.js,30155,src/bot/domains/brands/profileCallbacks.js
a:brand_gt_pick,edit,require_redis,False,222,brand_profile,src/bot/bot.js,30108,src/bot/domains/brands/profileCallbacks.js
a:brand_gt_t,edit,require_redis,False,223,brand_profile,src/bot/bot.js,30120,src/bot/domains/brands/profileCallbacks.js
a:brand_managers,edit,require_redis,False,224,brand_profile,unresolved_or_generated,,src/bot/domains/brands/profileCallbacks.js
a:brand_niche_clear,edit,require_redis,False,225,brand_profile,src/bot/bot.js,29851,src/bot/domains/brands/profileCallbacks.js
a:brand_niche_pick,edit,require_redis,False,226,brand_profile,src/bot/bot.js,29802,src/bot/domains/brands/profileCallbacks.js
a:brand_niche_set,edit,require_redis,False,227,brand_profile,src/bot/bot.js,29823,src/bot/domains/brands/profileCallbacks.js
