label,occurrences,files,functions,callbacks_sample,flags,source_sample
⬅️ Вернуться к заявке,1,src/bot/bot.js,renderBrandPassTopup,a:brand_app_view|id:${…}|s:${…}|p:${…},,src/bot/bot.js:18091
⬅️ К Brand Plan,1,src/bot/bot.js,renderBrandPassTopup,a:brand_plan|ws:${…},mixed_language,src/bot/bot.js:18079
⬅️ К диалогу,1,src/bot/bot.js,getBot,a:bx_thread|ws:${…}|t:${…}|p:0|h:bo,,src/bot/bot.js:22958
⬅️ К каналу,1,src/bot/bot.js,wsSettingsKb,a:ws_open|ws:${…},,src/bot/bot.js:5439
⬅️ К кнопкам,1,src/bot/bot.js,getBot,,,src/bot/bot.js:32435
⬅️ К настройкам,1,src/bot/bot.js,curManageKb,a:ws_settings|ws:${…},,src/bot/bot.js:5508
⬅️ К офферу,1,src/bot/bot.js,getBot,a:bx_pub|ws:${…}|o:${…}|p:0|h:bo,,src/bot/bot.js:22960
⬅️ Коммуникации,1,src/bot/bot.js,renderAdminSysNotice,a:admin_comms,,src/bot/bot.js:39564
⬅️ Назад к кнопкам,1,src/bot/bot.js,getBot,,,src/bot/bot.js:32593
⬅️ Назад к конкурсу,1,src/bot/bot.js,getBot,a:cur_gw_open|ws:${…}|i:${…},,src/bot/bot.js:21448
⬅️ Назад к офферу,1,src/bot/bot.js,renderOfficialManageView,,,src/bot/bot.js:17502
⬅️ Назад к черновику,1,src/bot/bot.js,getBot,a:gw_confirm_push|ws:${…},,src/bot/bot.js:36901
⬅️ Простой composer,1,src/bot/bot.js,getBot,,mixed_language,src/bot/bot.js:32363
⬅️ Раньше,1,src/bot/bot.js,renderAdminSupportList,a:admin_support_list|s:${…}|p:${…},,src/bot/bot.js:38681
⭐ ${…} · ${…} Stars,1,src/bot/bot.js,renderOfficialBuyHome,a:off_buy|ws:${…}|o:${…}|dur:${…}|p:${…}|back:${…},,src/bot/bot.js:17590
⭐ ${…} · ≈ ${…} ${…},1,src/bot/bot.js,renderBrandPaywall,a:brand_buy|ws:${…}|o:${…}|pack:${…}|p:${…},,src/bot/bot.js:17711
⭐ Brand 12 мес · ${…}⭐️,1,src/bot/bot.js,renderFounderSale,a:founder_buy|id:founder_brand_12m|ret:${…},mixed_language,src/bot/bot.js:4264
⭐ Brand 3 мес · ${…}⭐️,1,src/bot/bot.js,renderFounderSale,a:founder_buy|id:founder_brand_3m|ret:${…},mixed_language,src/bot/bot.js:4263
⭐ PRO 12 мес · ${…}⭐️,1,src/bot/bot.js,renderFounderSale,a:founder_buy|id:founder_creator_12m|ret:${…},mixed_language,src/bot/bot.js:4266
⭐ Stars,1,src/bot/bot.js,gwNewStepPrizeKb,a:gw_prize|ws:${…}|t:stars,,src/bot/bot.js:8676
⭐️ Brand Plan (включено 10 каналов/мес),1,src/bot/bot.js,renderMatchingHome,,mixed_language | long_button,src/bot/bot.js:18265
